title,congress_id,first_name,last_name,chamber,district,state,party,facebook_url,twitter_handle,member_level,signed_letter_count,voted_with_bma_count,legislation
Sen. Lamar Alexander,A000360,Lamar,Alexander,sen,,TN,R,https://www.facebook.com/senatorlamaralexander/,@SenAlexander,supporter,,,
Sen. John Barrasso,B001261,John,Barrasso,sen,,WY,R,https://www.facebook.com/johnbarrasso/,@SenJohnBarrasso,champion,,,S.172 - Health Insurance Tax Relief Act of 2019;;Cosponsor|S. 80 - Jobs and Premium Protection Act;;Original Sponsor
Sen. Michael Bennet,B001267,Michael,Bennet,sen,,CO,D,https://www.facebook.com/senbennetco/,@SenatorBennett,supporter,,,
Sen. Marsha Blackburn,B001243,Marsha,Blackburn,sen,,TN,R,https://www.facebook.com/marshablackburn/,@MarshaBlackburn,supporter,,,
Sen. Richard Blumenthal,B001277,Richard,Blumenthal,sen,,CT,D,https://www.facebook.com/SenBlumenthal/,@SenBlumenthal,supporter,,,
Sen. Roy Blunt,B000575,Roy,Blunt,sen,,MO,R,https://www.facebook.com/SenatorBlunt/,@RoyBlunt,supporter,,,
Sen. John Boozman,B001236,John,Boozman,sen,,AR,R,https://www.facebook.com/JohnBoozman/,@JohnBoozman,supporter,,,
Sen. Mike Braun,B001310,Mike,Braun,sen,,IN,R,https://www.facebook.com/SenatorBraun/,@SenatorBraun,supporter,,,
Sen. Richard Burr,B001135,Richard,Burr,sen,,NC,R,https://www.facebook.com/SenatorRichardBurr/,@SenatorBurr,supporter,,,
Sen. Shelley Moore Capito,C001047,Shelley,Capito,sen,,WV,R,https://www.facebook.com/senshelley/,@SenCapito,supporter,,,
Sen. Tom Carper,C000174,Tom,Carper,sen,,DE,D,https://www.facebook.com/tomcarper/,@SenatorCarper,supporter,,,
Sen. Bob Casey,C001070,Bob,Casey,sen,,PA,D,https://www.facebook.com/SenatorBobCasey/,@SenBobCasey,supporter,,,
Sen. Bill Cassidy,C001075,Bill,Cassidy,sen,,LA,R,https://www.facebook.com/billcassidy/,@BillCassidy,supporter,,,
Sen. Susan Collins,C001035,Susan,Collins,sen,,ME,R,https://www.facebook.com/susancollins/,@SenatorCollins,supporter,,,
Sen. John Cornyn,C001056,John,Cornyn,sen,,TX,R,https://www.facebook.com/SenJohnCornyn/,@JohnCornyn,supporter,,,
Sen. Catherine Cortez-Masto,C001113,Catherine,Cortez Masto,sen,,NV,D,https://www.facebook.com/SenatorCortezMasto/,@SenCortezMasto,champion,1,,2019 MA Rate Notice Crash Letter;;Lead circulator
Sen. Tom Cotton,C001095,Tom,Cotton,sen,,AR,R,https://www.facebook.com/SenatorTomCotton,@SenTomCotton,supporter,,,S.172 - Health Insurance Tax Relief Act of 2019;;Cosponsor
Sen. Kevin Cramer,C001096,Kevin,Cramer,sen,,ND,R,https://www.facebook.com/SenatorKevinCramer/,@kevincramer,supporter,,,S.172 - Health Insurance Tax Relief Act of 2019;;Cosponsor|S. 80 - Jobs and Premium Protection Act;;Sponsor
Sen. Mike Crapo,C000880,Mike,Crapo,sen,,ID,R,https://www.facebook.com/mikecrapo/,@MikeCrapo,champion,1,,
Sen. Ted Cruz,C001098,Ted ,Cruz,sen,,TX,R,https://www.facebook.com/SenatorTedCruz/,@SenTedCruz,supporter,,,S.172 - Health Insurance Tax Relief Act of 2019;;Cosponsor
Sen. Steve Daines,D000618,Steve,Daines,sen,,MT,R,https://www.facebook.com/SteveDainesMT/,@SteveDaines,supporter,,,
Sen. Mike Enzi,E000285,Mike,Enzi,sen,,WY,R,https://www.facebook.com/mikeenzi/,@SenatorEnzi,supporter,,,
Sen. Joni Ernst,E000295,Joni,Ernst,sen,,IA,R,https://www.facebook.com/senjoniernst/,@SenJoniErnst,supporter,,,
Sen. Deb Fischer,F000463,Deb,Fischer,sen,,NE,R,https://www.facebook.com/senatordebfischer/,@SenatorFischer,supporter,,,
Sen. Cory Gardner,G000562,Cory,Gardner,sen,,CO,R,https://www.facebook.com/SenCoryGardner/,@SenCoryGardner,champion,,,S.172 - Health Insurance Tax Relief Act of 2019;;Original Sponsor|S. 80 - Jobs and Premium Protection Act;;Sponsor
Sen. Lindsey Graham,G000359,Lindsey,Graham,sen,,SC,R,https://www.facebook.com/LindseyGrahamSC/,@LindseyGrahamSC,supporter,,,
